"","SP500","DowJones","Nasdaq","FTSE100"
"2024-06-11",5375.31982421875,38747.421875,17343.55078125,8147.7998046875
"2024-06-12",5421.02978515625,38712.2109375,17608.439453125,8215.5
"2024-06-13",5433.740234375,38647.1015625,17667.560546875,8163.7001953125
"2024-06-14",5431.60009765625,38589.16015625,17688.880859375,8146.89990234375
"2024-06-17",5473.22998046875,38778.1015625,17857.01953125,8142.2001953125
"2024-06-18",5487.02978515625,38834.859375,17862.23046875,8191.2998046875
"2024-06-19",NA,NA,NA,8205.099609375
"2024-06-20",5473.169921875,39134.76171875,17721.58984375,8272.5
"2024-06-21",5464.6201171875,39150.328125,17689.359375,8237.7001953125
"2024-06-24",5447.8701171875,39411.2109375,17496.8203125,8281.599609375
"2024-06-25",5469.2998046875,39112.16015625,17717.650390625,8247.7998046875
"2024-06-26",5477.89990234375,39127.80078125,17805.16015625,8225.2998046875
"2024-06-27",5482.8701171875,39164.05859375,17858.6796875,8179.7001953125
"2024-06-28",5460.47998046875,39118.859375,17732.599609375,8164.10009765625
"2024-07-01",5475.08984375,39169.51953125,17879.30078125,8166.7998046875
"2024-07-02",5509.009765625,39331.8515625,18028.759765625,8121.2001953125
"2024-07-03",5537.02001953125,39308,18188.30078125,8171.10009765625
"2024-07-04",NA,NA,NA,8241.2998046875
"2024-07-05",5567.18994140625,39375.87109375,18352.759765625,8203.900390625
"2024-07-08",5572.85009765625,39344.7890625,18403.740234375,8193.5
"2024-07-09",5576.97998046875,39291.96875,18429.2890625,8139.7998046875
"2024-07-10",5633.91015625,39721.359375,18647.44921875,8193.5
"2024-07-11",5584.5400390625,39753.75,18283.41015625,8223.2998046875
"2024-07-12",5615.35009765625,40000.8984375,18398.44921875,8252.900390625
"2024-07-15",5631.22021484375,40211.71875,18472.5703125,8183
"2024-07-16",5667.2001953125,40954.48046875,18509.33984375,8164.89990234375
"2024-07-17",5588.27001953125,41198.078125,17996.919921875,8187.5
"2024-07-18",5544.58984375,40665.01953125,17871.220703125,8204.900390625
"2024-07-19",5505,40287.53125,17726.939453125,8155.7001953125
"2024-07-22",5564.41015625,40415.44140625,18007.5703125,8198.7998046875
"2024-07-23",5555.740234375,40358.08984375,17997.349609375,8167.39990234375
"2024-07-24",5427.1298828125,39853.87109375,17342.41015625,8153.7001953125
"2024-07-25",5399.22021484375,39935.0703125,17181.720703125,8186.39990234375
"2024-07-26",5459.10009765625,40589.33984375,17357.880859375,8285.7001953125
"2024-07-29",5463.5400390625,40539.9296875,17370.19921875,8292.400390625
"2024-07-30",5436.43994140625,40743.328125,17147.419921875,8274.400390625
"2024-07-31",5522.2998046875,40842.7890625,17599.400390625,8368
"2024-08-01",5446.68017578125,40347.96875,17194.150390625,8283.400390625
"2024-08-02",5346.56005859375,39737.26171875,16776.16015625,8174.7001953125
"2024-08-05",5186.330078125,38703.26953125,16200.080078125,8008.2001953125
"2024-08-06",5240.02978515625,38997.66015625,16366.849609375,8026.7001953125
"2024-08-07",5199.5,38763.44921875,16195.8095703125,8166.89990234375
"2024-08-08",5319.31005859375,39446.48828125,16660.01953125,8145
"2024-08-09",5344.16015625,39497.5390625,16745.30078125,8168.10009765625
"2024-08-12",5344.39013671875,39357.01171875,16780.609375,8210.2998046875
"2024-08-13",5434.43017578125,39765.640625,17187.609375,8235.2001953125
"2024-08-14",5455.2099609375,40008.390625,17192.599609375,8281.099609375
"2024-08-15",5543.22021484375,40563.05859375,17594.5,8347.400390625
"2024-08-16",5554.25,40659.76171875,17631.720703125,8311.400390625
"2024-08-19",5608.25,40896.53125,17876.76953125,8356.900390625
"2024-08-20",5597.1201171875,40834.96875,17816.939453125,8273.2998046875
"2024-08-21",5620.85009765625,40890.48828125,17918.990234375,8283.400390625
"2024-08-22",5570.64013671875,40712.78125,17619.349609375,8288
"2024-08-23",5634.60986328125,41175.078125,17877.7890625,8327.7998046875
"2024-08-26",5616.83984375,41240.51953125,17725.76953125,NA
"2024-08-27",5625.7998046875,41250.5,17754.8203125,8345.5
"2024-08-28",5592.18017578125,41091.421875,17556.029296875,8343.900390625
"2024-08-29",5591.9599609375,41335.05078125,17516.4296875,8379.599609375
"2024-08-30",5648.39990234375,41563.078125,17713.619140625,8376.599609375
"2024-09-02",NA,NA,NA,8363.7998046875
"2024-09-03",5528.93017578125,40936.9296875,17136.30078125,8298.5
"2024-09-04",5520.06982421875,40974.96875,17084.30078125,8269.599609375
"2024-09-05",5503.41015625,40755.75,17127.66015625,8241.7001953125
"2024-09-06",5408.419921875,40345.41015625,16690.830078125,8181.5
